UnitID,Institution Name,Control of institution (HD2019),Average amount of federal  state  local  institutional or other sources of grant aid awarded to undergraduate students (SFA1819),Average amount of federal  state  local  institutional or other sources of grant aid awarded to undergraduate students (SFA1718_RV),Average amount of federal  state  local  institutional or other sources of grant aid awarded to undergraduate students (SFA1617_RV),Average amount of federal  state  local  institutional or other sources of grant aid awarded to undergraduate students (SFA1516_RV),Average amount of federal  state  local  institutional or other sources of grant aid awarded to undergraduate students (SFA1415_RV),Average amount of federal  state  local  institutional or other sources of grant aid awarded to undergraduate students (SFA1314_RV),Average amount of federal  state  local  institutional or other sources of grant aid awarded to undergraduate students (SFA1213_RV),Average amount of federal  state  local  institutional or other sources of grant aid awarded to undergraduate students (SFA1112_RV),Average amount of federal  state  local  institutional or other sources of grant aid awarded to undergraduate students (SFA1011_RV),Average amount of federal  state  local  institutional or other sources of grant aid dollars received by undergraduate students (SFA0910_RV),
455929,Academy of Hair Design-Oklahoma City,3,5630,3510,3780,4966,4445,4071,4036,3868,2586,4452,
449728,American Institute of Medical Technology,3,5063,6968,4817,5011,5799,5799,5429,5550,7935,6349,
365213,Autry Technology Center,1,2022,2388,2389,2067,2373,2777,3126,2970,2842,2960,
206817,Bacone College,2,19820,11013,11134,5359,4727,4009,3735,15762,14311,14207,
207272,Beauty Technical College Inc,3,4700,4400,4100,4350,4669,4742,4129,4867,5000,6412,
448424,Broken Arrow Beauty College,3,3747,3270,3724,1903,3290,7979,2123,3298,4917,5338,
206880,Broken Arrow Beauty College-Broken Arrow,3,,2281,3729,3302,7368,7945,3518,3404,4831,3411,
364946,Caddo Kiowa Technology Center,1,3516,3604,3335,3503,3159,3327,3206,2842,3041,2547,
206914,Cameron University,1,6492,5864,5663,5814,5781,5563,5184,5016,5048,4998,
365374,Canadian Valley Technology Center,1,3794,2974,2984,2128,1964,2385,2362,2445,2855,2363,
206923,Carl Albert State College,1,4193,4811,4628,4869,5085,4495,4221,4862,5427,4995,
206932,Central Oklahoma College,3,4743,4861,4033,4965,4067,4143,3624,6716,3139,3320,
246017,Central Technology Center,1,2595,3799,3732,3824,3140,2844,2368,1653,4395,3222,
375656,Chisholm Trail Technology Center,1,3580,2426,1931,2649,3647,4683,3288,3273,2532,2914,
450401,Clary Sage College,2,4540,4669,4862,4036,3879,3821,3832,3904,3670,3897,
480967,College of the Muscogee Nation,1,7428,6675,6928,3078,4267,1890,,,,,
439570,Community Care College,2,4975,5000,4897,4290,4429,4202,4248,4161,4112,4561,
206996,Connors State College,1,4815,4341,3961,4114,4352,4623,4642,6752,6836,6116,
207041,East Central University,1,6754,6256,7329,7213,7150,6506,6292,6219,6456,6475,
418348,Eastern Oklahoma County Technology Center,1,3081,2301,2154,1722,1742,1921,1775,1651,2061,1798,
207050,Eastern Oklahoma State College,1,4784,5198,3701,5360,5094,3414,2939,2891,2400,2394,
207087,Enid Beauty College,3,6591,5345,5509,5072,4333,4716,5486,5469,5076,5375,
207102,Eves College of Hairstyling,3,4923,4159,4053,3346,4780,3462,4179,4227,4186,3661,
443058,Family of Faith Christian University,2,4020,4567,4672,5299,6673,7118,9388,7102,6748,5374,
208044,Formations Institute of Cosmetology & Barbering,3,6055,2616,4507,4595,3368,3532,3958,6687,4782,4760,
245999,Francis Tuttle Technology Center,1,2721,2742,2910,2781,3259,3033,2928,2921,2902,2769,
375683,Gordon Cooper Technology Center,1,4475,4660,3786,4053,4084,3496,4076,3617,4071,5121,
364548,Great Plains Technology Center,1,2669,4461,3816,2911,2532,2703,2564,2924,3093,1934,
428019,Green Country Technology Center,1,4085,3929,3704,3470,4373,4774,4308,4289,4890,4222,
208053,High Plains Technology Center,1,4149,4107,3291,3783,2665,3525,3422,3619,4642,3459,
418296,Indian Capital Technology Center-Muskogee,1,5284,5261,4621,4411,4469,4431,3084,3719,4499,4166,
483276,JB's Hair Design and Barber College,3,4726,4591,4233,4037,4439,4775,,,,,
207704,Jenks Beauty College,3,4201,3137,4238,3779,4710,4250,3592,3452,3845,3834,
375726,Kiamichi Technology Center-McAlester,1,5305,3449,4068,2435,3867,2258,3283,3825,3900,3555,
207209,Langston University,1,8224,7057,6934,5183,5326,5525,6501,6055,6054,5499,
365480,Meridian Technology Center,1,4404,4360,2972,2653,3276,3327,3305,3713,4992,3682,
363165,Metro Technology Centers,1,5282,4625,3772,3729,3689,3576,3642,3286,3791,3742,
245953,Mid-America Christian University,2,7767,7399,5987,6493,6346,6656,5276,2586,12088,13335,
